ano,sigla_uf,sigla_uf_nome,id_municipio,id_municipio_nome,id_escola,id_escola_nome,id_escola_latitude,id_escola_longitude,anos_escolares,ideb,projecao
2011,MA,Maranhão,2101905,Bequimão,21002118,ESCOLA MUNICIPAL PROFESSOR NIZAEL COSTA,-2.53473307471722,-44.7386157140136,finais (6-9),,2.4
2015,MA,Maranhão,2101905,Bequimão,21002118,ESCOLA MUNICIPAL PROFESSOR NIZAEL COSTA,-2.53473307471722,-44.7386157140136,iniciais (1-5),,3.9
2005,MA,Maranhão,2101905,Bequimão,21002118,ESCOLA MUNICIPAL PROFESSOR NIZAEL COSTA,-2.53473307471722,-44.7386157140136,finais (6-9),,
2011,MA,Maranhão,2101905,Bequimão,21002169,ESCOLA MUNICIPAL SOLANGE GUIMARAES PEREIRA,-2.55906213540584,-44.7063394356519,finais (6-9),,
2007,MA,Maranhão,2101905,Bequimão,21002169,ESCOLA MUNICIPAL SOLANGE GUIMARAES PEREIRA,-2.55906213540584,-44.7063394356519,finais (6-9),,
2015,MA,Maranhão,2101905,Bequimão,21002169,ESCOLA MUNICIPAL SOLANGE GUIMARAES PEREIRA,-2.55906213540584,-44.7063394356519,iniciais (1-5),,
2013,MA,Maranhão,2101905,Bequimão,21002207,UNIDADE INTEGRADA PONTAL,-2.58583535905927,-44.7744268923998,iniciais (1-5),,
2025,MA,Maranhão,2101905,Bequimão,21002207,UNIDADE INTEGRADA PONTAL,-2.58583535905927,-44.7744268923998,finais (6-9),,
2025,MA,Maranhão,2101905,Bequimão,21002282,UNIDADE INTEGRADA AREAL,-2.47959109023213,-44.8943702504039,iniciais (1-5),,
2005,MA,Maranhão,2101905,Bequimão,21002282,UNIDADE INTEGRADA AREAL,-2.47959109023213,-44.8943702504039,iniciais (1-5),,
2007,MA,Maranhão,2101905,Bequimão,21002282,UNIDADE INTEGRADA AREAL,-2.47959109023213,-44.8943702504039,finais (6-9),,
2025,MA,Maranhão,2101905,Bequimão,21002398,UNIDADE INTEGRADA QUINDIUA,-2.3283002525568,-44.7685050778091,finais (6-9),,
2007,MA,Maranhão,2101905,Bequimão,21002398,UNIDADE INTEGRADA QUINDIUA,-2.3283002525568,-44.7685050778091,iniciais (1-5),,
2015,MA,Maranhão,2101905,Bequimão,21002398,UNIDADE INTEGRADA QUINDIUA,-2.3283002525568,-44.7685050778091,finais (6-9),,2.9
2021,MA,Maranhão,2101905,Bequimão,21002398,UNIDADE INTEGRADA QUINDIUA,-2.3283002525568,-44.7685050778091,finais (6-9),,3.7
2007,MA,Maranhão,2101905,Bequimão,21002398,UNIDADE INTEGRADA QUINDIUA,-2.3283002525568,-44.7685050778091,finais (6-9),,
2023,MA,Maranhão,2101905,Bequimão,21002398,UNIDADE INTEGRADA QUINDIUA,-2.3283002525568,-44.7685050778091,finais (6-9),,
2025,MA,Maranhão,2101905,Bequimão,21002398,UNIDADE INTEGRADA QUINDIUA,-2.3283002525568,-44.7685050778091,iniciais (1-5),,
2015,MA,Maranhão,2101905,Bequimão,21002428,ESCOLA MUNICIPAL MANOEL FERNANDES PINHEIRO,-2.53942509647459,-44.7223807219416,iniciais (1-5),,
2025,MA,Maranhão,2101905,Bequimão,21002428,ESCOLA MUNICIPAL MANOEL FERNANDES PINHEIRO,-2.53942509647459,-44.7223807219416,finais (6-9),,
2011,MA,Maranhão,2101905,Bequimão,21002428,ESCOLA MUNICIPAL MANOEL FERNANDES PINHEIRO,-2.53942509647459,-44.7223807219416,iniciais (1-5),,
